course_number,course_name,course_supervisor(s),days1,times1,days2,times2,ta_assigned,ta_needed,workload_1,workload_2,workload_3,workload_4
MATH:1860:0B03,Calculus II,Instructors:Colleen Mitchell(Course Supervisor),TTh,9:30A - 10:20A,,,"18, TA",1,0.5,0.5,0.5,0.3333
MATH:1860:0B04,Calculus II,Instructors:Colleen Mitchell(Course Supervisor),TTh,11:00A - 11:50A,,,,1,0.5,0.5,0.5,0.3333
MATH:1860:0FFF,Calculus II,Instructors:Keiko Kawamuro(Primary Instructor),MWF,11:30A - 12:20P,,,,0,0.5,0.5,0.5,0.3333
MATH:1860:0F10,Calculus II,Instructors:Keiko Kawamuro(Course Supervisor),TTh,12:30P - 1:20P,,,,1,0.5,0.5,0.5,0.3333
MATH:1860:0F11,Calculus II,Instructors:Keiko Kawamuro(Course Supervisor),TTh,2:00P - 2:50P,,,,1,0.5,0.5,0.5,0.3333
MATH:2550:0001,Engineering Math III: Matrix Algebra,Instructors:Miodrag Iovanov(Primary Instructor),MW,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2550:0101,Engineering Math III: Matrix Algebra,Instructors:Miodrag Iovanov(Primary Instructor),MW,1:30P - 2:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2550:0121,Engineering Math III: Matrix Algebra,Instructors:Raul Curto(Primary Instructor),MW,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0081,Engineer Math IV: Differential Equations,,MWF,12:30P - 1:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0093,Engineer Math IV: Differential Equations,Instructors:Xueyu Zhu(Primary Instructor),MWF,9:30A - 10:20A,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0101,Engineer Math IV: Differential Equations,,MWF,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
MATH:2560:0102,Engineer Math IV: Differential Equations,Instructors:Isabel Darcy(Primary Instructor),MWF,11:30A - 12:20P,,,,0,1.0,1.0,0.5,0.5
