course_number,course_name,times,days,instructors
MATH:1440:0A11,Mathematics for the Biological Sciences,3:30P - 4:20P,TTh,"Instructors:Victor Camillo(Course Supervisor)"
MATH:1440:0A12,Mathematics for the Biological Sciences,3:30P - 4:20P,TTh,"Instructors:Blake Mattson(Primary Instructor),Victor Camillo(Course Supervisor)"
MATH:1440:0A16,Mathematics for the Biological Sciences,3:30P - 4:20P,TTh,"Instructors:Leslie Colton(Primary Instructor),Victor Camillo(Course Supervisor)"
MATH:1440:0A17,Mathematics for the Biological Sciences,5:00P - 5:50P,TTh,"Instructors:Jacob Miller(Primary Instructor),Victor Camillo(Course Supervisor)"
MATH:1440:0A20,Mathematics for the Biological Sciences,2:00P - 2:50P,TTh,"Instructors:Victor Camillo(Course Supervisor)"
MATH:1440:0A22,Mathematics for the Biological Sciences,9:30A - 10:20A,TTh,"Instructors:Leslie Colton(Primary Instructor),Victor Camillo(Course Supervisor)"
MATH:1460:000A,Calculus for the Biological Sciences,1:30P - 2:20P,MWF,"Instructors:Xiaoyi Zhang(Primary Instructor)"
MATH:1460:000B,Calculus for the Biological Sciences,2:30P - 3:20P,MWF,"Instructors:Xiaoyi Zhang(Primary Instructor)"
MATH:1460:0071,Calculus for the Biological Sciences,2:00P - 2:50P,TTh,"Instructors:Fatou Ndow(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0081,Calculus for the Biological Sciences,8:30A - 9:20A,TTh,"Instructors:Zach Bryhtan(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0082,Calculus for the Biological Sciences,8:30A - 9:20A,TTh,"Instructors:Breanna Guppy(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0091,Calculus for the Biological Sciences,9:30A - 10:20A,TTh,"Instructors:Zach Bryhtan(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0101,Calculus for the Biological Sciences,7:30A - 8:20A,TTh,"Instructors:Zach Bryhtan(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0121,Calculus for the Biological Sciences,9:30A - 10:20A,TTh,"Instructors:Breanna Guppy(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0122,Calculus for the Biological Sciences,12:30P - 1:20P,TTh,"Instructors:Liz Brass(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0131,Calculus for the Biological Sciences,5:00P - 5:50P,TTh,"Instructors:Breanna Guppy(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0132,Calculus for the Biological Sciences,5:00P - 5:50P,TTh,"Instructors:Jessa Rhea(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0231,Calculus for the Biological Sciences,12:30P - 1:20P,TTh,"Instructors:Fatou Ndow(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
MATH:1460:0331,Calculus for the Biological Sciences,3:30P - 4:20P,TTh,"Instructors:Liz Brass(Primary Instructor),Xiaoyi Zhang(Course Supervisor)"
